"Item.ID","Data_value","Units","Item","Year","Month_num","Month"
"CPIM.SAP0102",2.22,"Dollars","Apples, 1kg",2007,3,"March"
"CPIM.SAP0102",2.02,"Dollars","Apples, 1kg",2007,4,"April"
"CPIM.SAP0102",1.89,"Dollars","Apples, 1kg",2007,5,"May"
"CPIM.SAP0102",1.89,"Dollars","Apples, 1kg",2007,6,"June"
"CPIM.SAP0102",1.98,"Dollars","Apples, 1kg",2007,7,"July"
"CPIM.SAP0102",2.11,"Dollars","Apples, 1kg",2007,8,"August"
"CPIM.SAP0102",2.13,"Dollars","Apples, 1kg",2007,9,"September"
"CPIM.SAP0102",2.18,"Dollars","Apples, 1kg",2007,10,"October"
"CPIM.SAP0102",2.55,"Dollars","Apples, 1kg",2007,11,"November"
"CPIM.SAP0102",3.24,"Dollars","Apples, 1kg",2007,12,"December"
"CPIM.SAP0102",3.37,"Dollars","Apples, 1kg",2008,1,"January"
